phi0;phi1;phi2;phi3;phi4;phi5;phi6;phi7;phi8;phi9;phi10;phi11;phi12
338.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.77;158.96520947176685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.62;243.2998789818215;197.74657699990317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.46;288.00831461420944;254.41312415132333;166.4043907760623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.3;311.6719011111877;296.20424272230485;240.46402752158423;88.16693544204945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.13;324.1614010453756;315.445411974176;287.36960077055664;168.85932476402516;86.98462021581506;0.0;0.0;0.0;0.0;0.0;0.0;0.0
337.96;330.7131573856594;326.2877655289291;310.9954876494194;231.65026318312363;167.76138811299552;80.28150432104793;0.0;0.0;0.0;0.0;0.0;0.0
337.78;334.1121773732599;331.79278196906455;323.8639894597911;273.6901712079614;230.79351581628282;161.02010674551568;39.309211155315374;0.0;0.0;0.0;0.0;0.0
337.62;335.83251312259614;334.67802021341384;330.53609426743134;300.2740358166983;273.114928702709;225.4167118914746;98.90399995654337;17.470760513473497;0.0;0.0;0.0;0.0
337.46;336.6709063301216;336.1141647743532;334.0215384866813;316.30794538678833;299.90983323087846;269.4392596652841;160.84996060264905;53.66331137706011;10.56767953010104;0.0;0.0;0.0
337.3;337.04101857054724;336.80672975314724;335.7824903464052;325.6932339119374;316.08804733105774;297.5617424363972;214.01986221523873;101.30182214398852;36.1541511077042;15.117652661116765;0.0;0.0
337.15;337.16248982388805;337.09817598735253;336.64439115436625;331.0388790392532;325.5644287279026;314.6603930112183;254.92549094876264;151.39872884232193;73.91450459466687;45.21153238331823;6.179040571805662;0.0
337.0;337.15663166423195;337.17817991444383;337.02625257428116;334.00887774221945;330.965466870327;324.72415357410796;284.1742188889481;197.41062311185118;117.41779775154006;86.27272874121974;22.13279714555881;3.368030500355287
336.85;337.0831659929392;337.1513747239629;337.15409992752257;335.60758971599705;333.9680657190332;330.48450545144277;304.02917749185127;235.97222123500535;160.4578509173817;130.82748024209465;48.34872156759482;13.596205191661188
336.7;336.9738030727537;337.06652569865565;337.15180665982126;336.4269855585234;335.5856037620148;333.69961931848405;316.98282206716914;266.21975734915907;198.8294377994456;173.21537162479697;82.06027769248959;32.538876591541154
